CMDLINE python subscriber_async.py
MEM 56.132812 1618060780.1032
MEM 56.132812 1618060780.2035
MEM 56.136719 1618060780.3038
MEM 56.136719 1618060780.4040
MEM 56.136719 1618060780.5043
MEM 56.136719 1618060780.6046
MEM 56.437500 1618060780.7048
MEM 56.437500 1618060780.8051
MEM 56.437500 1618060780.9053
MEM 56.437500 1618060781.0056
MEM 56.437500 1618060781.1058
MEM 56.437500 1618060781.2060
MEM 56.437500 1618060781.3063
MEM 56.437500 1618060781.4065
MEM 56.437500 1618060781.5068
MEM 56.757812 1618060781.6070
MEM 56.757812 1618060781.7073
MEM 56.757812 1618060781.8076
MEM 56.757812 1618060781.9079
MEM 56.757812 1618060782.0082
MEM 56.757812 1618060782.1083
MEM 56.757812 1618060782.2085
MEM 56.757812 1618060782.3087
MEM 56.757812 1618060782.4089
MEM 57.066406 1618060782.5092
MEM 57.066406 1618060782.6095
MEM 57.066406 1618060782.7097
MEM 57.066406 1618060782.8100
MEM 57.066406 1618060782.9102
MEM 57.066406 1618060783.0105
MEM 57.066406 1618060783.1107
MEM 57.066406 1618060783.2110
MEM 57.390625 1618060783.3112
MEM 57.398438 1618060783.4115
MEM 57.398438 1618060783.5117
MEM 57.398438 1618060783.6120
MEM 57.398438 1618060783.7123
MEM 57.398438 1618060783.8126
MEM 57.398438 1618060783.9129
MEM 57.398438 1618060784.0132
MEM 57.398438 1618060784.1134
MEM 57.703125 1618060784.2137
MEM 57.703125 1618060784.3139
MEM 57.703125 1618060784.4142
MEM 57.703125 1618060784.5145
MEM 57.703125 1618060784.6147
MEM 57.703125 1618060784.7150
MEM 57.703125 1618060784.8152
MEM 57.703125 1618060784.9155
MEM 57.703125 1618060785.0157
MEM 58.007812 1618060785.1160
MEM 58.007812 1618060785.2162
MEM 58.007812 1618060785.3165
MEM 58.007812 1618060785.4167
MEM 58.007812 1618060785.5169
MEM 58.007812 1618060785.6172
MEM 58.007812 1618060785.7174
MEM 58.007812 1618060785.8177
MEM 58.324219 1618060785.9179
MEM 58.324219 1618060786.0182
MEM 58.324219 1618060786.1184
MEM 58.324219 1618060786.2186
MEM 58.324219 1618060786.3188
MEM 58.324219 1618060786.4191
MEM 58.324219 1618060786.5194
MEM 58.324219 1618060786.6196
MEM 58.632812 1618060786.7198
MEM 58.632812 1618060786.8201
MEM 58.632812 1618060786.9203
MEM 58.632812 1618060787.0206
MEM 58.632812 1618060787.1209
MEM 58.632812 1618060787.2211
MEM 58.632812 1618060787.3214
MEM 58.632812 1618060787.4216
MEM 58.949219 1618060787.5219
MEM 58.949219 1618060787.6221
MEM 58.949219 1618060787.7223
MEM 58.949219 1618060787.8225
MEM 58.949219 1618060787.9228
MEM 58.949219 1618060788.0231
MEM 58.949219 1618060788.1233
MEM 58.949219 1618060788.2236
MEM 58.949219 1618060788.3238
MEM 59.257812 1618060788.4240
MEM 59.257812 1618060788.5243
MEM 59.257812 1618060788.6245
MEM 59.257812 1618060788.7247
MEM 59.257812 1618060788.8249
MEM 59.257812 1618060788.9252
MEM 59.257812 1618060789.0254
MEM 59.257812 1618060789.1257
MEM 59.566406 1618060789.2259
MEM 59.566406 1618060789.3262
MEM 59.566406 1618060789.4264
MEM 59.566406 1618060789.5266
MEM 59.566406 1618060789.6269
MEM 59.566406 1618060789.7271
MEM 59.566406 1618060789.8273
MEM 59.566406 1618060789.9275
MEM 59.882812 1618060790.0278
MEM 59.882812 1618060790.1281
MEM 59.882812 1618060790.2283
MEM 59.882812 1618060790.3285
MEM 59.882812 1618060790.4288
MEM 59.882812 1618060790.5290
MEM 59.882812 1618060790.6292
MEM 59.882812 1618060790.7294
MEM 59.882812 1618060790.8296
MEM 60.191406 1618060790.9298
MEM 60.191406 1618060791.0301
MEM 60.191406 1618060791.1303
MEM 60.191406 1618060791.2305
MEM 60.191406 1618060791.3308
MEM 60.191406 1618060791.4310
MEM 60.191406 1618060791.5313
MEM 60.191406 1618060791.6315
MEM 60.511719 1618060791.7317
MEM 60.511719 1618060791.8319
MEM 60.511719 1618060791.9322
MEM 60.511719 1618060792.0324
MEM 60.511719 1618060792.1327
MEM 60.511719 1618060792.2329
MEM 60.511719 1618060792.3331
MEM 60.511719 1618060792.4334
MEM 60.511719 1618060792.5337
MEM 60.816406 1618060792.6339
MEM 60.816406 1618060792.7341
MEM 60.816406 1618060792.8344
MEM 60.816406 1618060792.9346
MEM 60.820312 1618060793.0349
MEM 60.820312 1618060793.1351
MEM 60.820312 1618060793.2354
MEM 60.820312 1618060793.3356
MEM 61.125000 1618060793.4358
MEM 61.125000 1618060793.5360
MEM 61.125000 1618060793.6363
MEM 61.125000 1618060793.7365
MEM 61.125000 1618060793.8367
MEM 61.125000 1618060793.9369
MEM 61.125000 1618060794.0372
MEM 61.125000 1618060794.1374
MEM 61.445312 1618060794.2377
MEM 61.445312 1618060794.3379
MEM 61.445312 1618060794.4382
MEM 61.445312 1618060794.5384
MEM 61.445312 1618060794.6387
MEM 61.445312 1618060794.7389
MEM 61.445312 1618060794.8391
MEM 61.445312 1618060794.9394
MEM 61.753906 1618060795.0397
MEM 61.753906 1618060795.1399
MEM 61.753906 1618060795.2401
MEM 61.753906 1618060795.3404
MEM 61.753906 1618060795.4407
MEM 61.753906 1618060795.5409
MEM 61.753906 1618060795.6411
MEM 61.753906 1618060795.7413
MEM 61.753906 1618060795.8415
MEM 62.066406 1618060795.9418
MEM 62.066406 1618060796.0420
MEM 62.066406 1618060796.1423
MEM 62.066406 1618060796.2425
MEM 62.066406 1618060796.3427
MEM 62.066406 1618060796.4429
MEM 62.066406 1618060796.5432
MEM 62.066406 1618060796.6434
MEM 62.386719 1618060796.7437
MEM 62.386719 1618060796.8439
MEM 62.386719 1618060796.9442
MEM 62.386719 1618060797.0444
MEM 62.386719 1618060797.1447
MEM 62.386719 1618060797.2449
MEM 62.386719 1618060797.3451
MEM 62.386719 1618060797.4453
MEM 62.386719 1618060797.5455
MEM 62.687500 1618060797.6458
MEM 62.687500 1618060797.7460
MEM 62.687500 1618060797.8462
MEM 63.835938 1618060797.9465
MEM 63.835938 1618060798.0467
MEM 63.835938 1618060798.1469
MEM 63.835938 1618060798.2472
MEM 63.835938 1618060798.3474
MEM 64.140625 1618060798.4476
MEM 64.140625 1618060798.5479
MEM 64.140625 1618060798.6481
MEM 64.140625 1618060798.7484
MEM 64.140625 1618060798.8486
MEM 64.140625 1618060798.9488
MEM 64.140625 1618060799.0491
MEM 64.140625 1618060799.1493
MEM 64.445312 1618060799.2496
MEM 64.445312 1618060799.3498
MEM 64.445312 1618060799.4500
MEM 64.445312 1618060799.5503
MEM 64.445312 1618060799.6505
MEM 64.445312 1618060799.7507
MEM 64.445312 1618060799.8509
MEM 64.445312 1618060799.9512
MEM 64.445312 1618060800.0514
MEM 64.683594 1618060800.1516
MEM 64.683594 1618060800.2519
MEM 64.683594 1618060800.3521
MEM 64.683594 1618060800.4523
MEM 64.683594 1618060800.5526
MEM 64.683594 1618060800.6528
MEM 64.683594 1618060800.7530
MEM 64.683594 1618060800.8532
MEM 65.070312 1618060800.9535
MEM 65.070312 1618060801.0538
MEM 65.070312 1618060801.1540
MEM 65.070312 1618060801.2542
MEM 65.070312 1618060801.3545
MEM 65.070312 1618060801.4547
MEM 65.070312 1618060801.5549
MEM 65.070312 1618060801.6551
MEM 65.070312 1618060801.7553
MEM 65.308594 1618060801.8555
MEM 65.308594 1618060801.9558
MEM 65.308594 1618060802.0560
MEM 65.308594 1618060802.1562
MEM 65.308594 1618060802.2564
MEM 65.308594 1618060802.3567
MEM 65.308594 1618060802.4569
MEM 65.820312 1618060802.5571
MEM 66.242188 1618060802.6574
MEM 66.242188 1618060802.7576
MEM 66.242188 1618060802.8578
MEM 66.242188 1618060802.9581
MEM 66.242188 1618060803.0583
MEM 66.242188 1618060803.1585
MEM 66.242188 1618060803.2588
MEM 66.242188 1618060803.3590
MEM 66.558594 1618060803.4592
MEM 66.558594 1618060803.5595
MEM 66.558594 1618060803.6597
MEM 66.558594 1618060803.7599
MEM 66.558594 1618060803.8601
MEM 66.558594 1618060803.9604
MEM 66.558594 1618060804.0606
MEM 66.558594 1618060804.1609
MEM 66.558594 1618060804.2611
MEM 66.867188 1618060804.3613
MEM 66.867188 1618060804.4616
MEM 66.867188 1618060804.5618
MEM 66.867188 1618060804.6620
MEM 66.867188 1618060804.7622
MEM 66.867188 1618060804.8624
MEM 66.867188 1618060804.9627
MEM 66.867188 1618060805.0629
MEM 67.179688 1618060805.1632
MEM 67.179688 1618060805.2634
MEM 67.179688 1618060805.3636
MEM 67.179688 1618060805.4639
MEM 67.179688 1618060805.5641
MEM 67.179688 1618060805.6644
MEM 67.179688 1618060805.7646
MEM 67.179688 1618060805.8649
MEM 67.179688 1618060805.9651
MEM 67.488281 1618060806.0654
MEM 67.488281 1618060806.1656
MEM 67.507812 1618060806.2659
MEM 67.507812 1618060806.3661
MEM 68.019531 1618060806.4664
MEM 68.019531 1618060806.5666
MEM 68.019531 1618060806.6668
MEM 68.019531 1618060806.7671
