CMDLINE python subscriber_ack_only.py
MEM 53.437500 1618061006.2052
MEM 53.437500 1618061006.3056
MEM 53.437500 1618061006.4060
MEM 53.437500 1618061006.5065
MEM 53.437500 1618061006.6069
MEM 53.437500 1618061006.7073
MEM 53.437500 1618061006.8077
MEM 53.437500 1618061006.9081
MEM 53.437500 1618061007.0086
MEM 53.437500 1618061007.1089
MEM 53.437500 1618061007.2092
MEM 53.437500 1618061007.3096
MEM 53.437500 1618061007.4101
MEM 53.437500 1618061007.5105
MEM 53.437500 1618061007.6108
MEM 53.437500 1618061007.7112
MEM 53.437500 1618061007.8117
MEM 53.437500 1618061007.9121
MEM 53.437500 1618061008.0125
MEM 53.437500 1618061008.1129
MEM 53.437500 1618061008.2133
MEM 53.437500 1618061008.3136
MEM 53.437500 1618061008.4140
MEM 53.437500 1618061008.5144
MEM 53.437500 1618061008.6149
MEM 53.437500 1618061008.7153
MEM 53.437500 1618061008.8157
MEM 53.437500 1618061008.9161
MEM 53.437500 1618061009.0165
MEM 53.437500 1618061009.1168
MEM 53.437500 1618061009.2172
MEM 53.437500 1618061009.3176
MEM 53.437500 1618061009.4180
MEM 53.437500 1618061009.5185
MEM 53.437500 1618061009.6189
MEM 53.437500 1618061009.7192
MEM 53.437500 1618061009.8197
MEM 53.437500 1618061009.9200
MEM 53.437500 1618061010.0204
MEM 53.437500 1618061010.1208
MEM 53.437500 1618061010.2213
MEM 53.437500 1618061010.3217
MEM 53.437500 1618061010.4221
MEM 53.437500 1618061010.5225
MEM 53.437500 1618061010.6230
MEM 53.437500 1618061010.7234
MEM 53.437500 1618061010.8239
MEM 53.437500 1618061010.9242
MEM 53.437500 1618061011.0246
MEM 53.437500 1618061011.1250
MEM 53.437500 1618061011.2255
MEM 53.437500 1618061011.3258
MEM 53.437500 1618061011.4263
MEM 53.437500 1618061011.5267
MEM 53.437500 1618061011.6271
MEM 53.437500 1618061011.7276
MEM 53.437500 1618061011.8281
MEM 53.437500 1618061011.9284
MEM 53.437500 1618061012.0288
MEM 53.437500 1618061012.1291
MEM 53.437500 1618061012.2295
MEM 53.437500 1618061012.3300
MEM 53.437500 1618061012.4304
MEM 53.437500 1618061012.5309
MEM 53.437500 1618061012.6313
MEM 53.437500 1618061012.7317
MEM 53.437500 1618061012.8322
MEM 53.437500 1618061012.9327
MEM 53.437500 1618061013.0330
MEM 53.437500 1618061013.1334
MEM 53.437500 1618061013.2337
MEM 53.437500 1618061013.3340
MEM 53.437500 1618061013.4343
MEM 53.437500 1618061013.5347
MEM 53.437500 1618061013.6351
MEM 53.437500 1618061013.7355
MEM 53.437500 1618061013.8359
MEM 53.437500 1618061013.9363
MEM 53.437500 1618061014.0367
MEM 53.437500 1618061014.1370
MEM 53.437500 1618061014.2374
MEM 53.437500 1618061014.3377
MEM 53.437500 1618061014.4381
MEM 53.437500 1618061014.5384
MEM 53.437500 1618061014.6388
MEM 53.437500 1618061014.7392
MEM 53.437500 1618061014.8396
MEM 53.437500 1618061014.9400
MEM 53.437500 1618061015.0403
MEM 53.437500 1618061015.1408
MEM 53.437500 1618061015.2411
MEM 53.437500 1618061015.3414
MEM 53.437500 1618061015.4418
MEM 53.437500 1618061015.5422
MEM 53.437500 1618061015.6426
MEM 53.437500 1618061015.7430
MEM 53.437500 1618061015.8434
MEM 53.437500 1618061015.9438
MEM 53.437500 1618061016.0442
MEM 53.437500 1618061016.1446
MEM 53.437500 1618061016.2449
MEM 53.437500 1618061016.3452
MEM 53.437500 1618061016.4456
MEM 53.437500 1618061016.5460
MEM 53.437500 1618061016.6464
MEM 53.437500 1618061016.7468
MEM 53.437500 1618061016.8472
MEM 53.437500 1618061016.9476
MEM 53.437500 1618061017.0480
MEM 53.437500 1618061017.1484
MEM 53.437500 1618061017.2488
MEM 53.437500 1618061017.3492
MEM 53.437500 1618061017.4496
MEM 53.437500 1618061017.5500
MEM 53.437500 1618061017.6505
MEM 53.437500 1618061017.7510
MEM 53.437500 1618061017.8514
MEM 53.437500 1618061017.9518
MEM 53.437500 1618061018.0523
MEM 53.437500 1618061018.1528
MEM 53.437500 1618061018.2532
MEM 53.437500 1618061018.3535
MEM 53.437500 1618061018.4540
MEM 53.437500 1618061018.5545
MEM 53.437500 1618061018.6549
MEM 53.437500 1618061018.7553
MEM 53.437500 1618061018.8557
MEM 53.437500 1618061018.9561
MEM 53.437500 1618061019.0565
MEM 53.437500 1618061019.1570
MEM 53.437500 1618061019.2573
MEM 53.437500 1618061019.3577
MEM 53.437500 1618061019.4581
MEM 53.437500 1618061019.5586
MEM 53.437500 1618061019.6590
MEM 53.437500 1618061019.7595
MEM 53.437500 1618061019.8599
MEM 53.437500 1618061019.9604
MEM 53.437500 1618061020.0609
MEM 53.437500 1618061020.1614
MEM 53.437500 1618061020.2618
MEM 53.437500 1618061020.3623
MEM 53.437500 1618061020.4628
MEM 53.437500 1618061020.5632
MEM 53.437500 1618061020.6637
MEM 53.437500 1618061020.7642
MEM 53.437500 1618061020.8647
MEM 53.437500 1618061020.9651
MEM 53.437500 1618061021.0656
MEM 53.437500 1618061021.1661
MEM 53.437500 1618061021.2665
MEM 53.437500 1618061021.3670
MEM 53.437500 1618061021.4675
MEM 53.437500 1618061021.5680
MEM 53.437500 1618061021.6684
MEM 53.437500 1618061021.7689
MEM 53.437500 1618061021.8694
MEM 53.437500 1618061021.9698
MEM 53.437500 1618061022.0703
MEM 53.437500 1618061022.1707
MEM 53.437500 1618061022.2711
MEM 53.437500 1618061022.3716
MEM 54.531250 1618061022.4719
